CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310437061	1	197.12122	1	6	6	2	3	0
201310437063	1	344.962135	1	4	6	2	3	0
201310437063	2	344.962135	1	4	6	2	3	0
201310437067	1	197.12122	1	6	6	2	3	1
201310437068	1	98.56061	1	5	6	2	3	0
201310437073	1	98.56061	1	5	6	2	3	0
201310437078	1	197.12122	1	6	6	2	3	0
201310437081	1	344.962135	1	4	6	2	3	0
201310437086	1	89.85326	1	5	10	2	3	0
201310437120	1	217.168	1	6	1	2	3	0
201310437127	1	81.438	1	5	1	2	3	0
201310437127	2	81.438	1	5	1	2	3	0
201310437132	1	352.898	1	4	1	2	3	0
201310437137	1	217.168	1	6	1	2	3	0
201310437140	1	352.898	1	4	2	2	3	0
201310437140	2	352.898	1	4	2	2	3	7
201310437143	1	54.292	1	2	2	2	3	0
201310437159	1	217.168	1	6	2	2	3	0
201310437162	1	27.146	1	1	2	2	3	0
201310437166	1	352.898	1	4	3	2	3	0
201310437177	1	215.54684	1	6	4	2	3	0
201310437177	2	215.54684	1	6	4	2	3	0
201310437179	1	323.32026	1	4	4	2	3	0
201310437182	1	197.12122	1	6	6	2	3	1
201310437187	1	98.56061	1	5	6	2	3	0
201310437187	2	98.56061	1	5	6	2	3	0
201310437193	1	197.12122	1	6	6	2	3	0
201310437197	1	344.962135	1	4	6	2	3	0
201310437202	1	197.12122	1	6	6	2	3	0
201310437203	1	359.41304	1	4	10	2	3	0
201310437203	2	359.41304	1	4	10	2	3	0
201310437204	1	89.85326	1	5	10	2	3	0
201310437205	1	179.70652	1	6	10	2	3	0
201310437205	2	179.70652	1	6	10	2	3	0
201310437207	1	179.70652	1	6	10	2	3	0
201310437227	1	54.292	1	2	1	2	3	0
201310437227	2	54.292	1	2	1	2	3	0
201310437241	1	215.54684	1	6	4	2	3	0
201310437250	1	344.962135	1	4	6	2	3	0
201310437257	1	57.523731	1	3	9	2	3	0
201310437261	1	230.094924	1	6	9	2	3	0
201310437262	1	345.142386	1	4	9	2	3	0
201310437262	2	345.142386	1	4	9	2	3	99
201310437269	1	230.094924	1	6	9	2	3	0
201310437273	1	230.094924	1	6	9	2	3	0
201310437277	1	230.094924	1	6	9	2	3	0
201310437280	1	345.142386	1	4	9	2	3	0
201310437283	1	57.523731	1	1	9	2	3	0
201310437284	1	57.523731	1	1	9	2	3	0
201310437287	1	179.70652	1	6	10	2	3	0
201310437287	2	179.70652	1	6	10	2	3	0
201310437317	1	352.898	1	4	3	2	3	0
201310437317	2	352.898	1	4	3	2	3	0
201310437327	1	323.32026	1	4	4	2	3	0
201310437337	1	197.12122	1	6	6	2	3	0
201310437343	1	344.962135	1	4	6	2	3	0
201310437343	2	344.962135	1	4	6	2	3	0
201310437344	1	197.12122	1	6	6	2	3	0
201310437345	1	359.41304	1	4	10	2	3	0
201310437345	2	359.41304	1	4	10	2	3	0
201310437364	1	352.898	1	4	2	2	3	0
201310437365	1	81.438	1	5	2	2	3	0
201310437371	1	215.54684	1	6	4	2	3	0
201310437376	1	323.32026	1	4	4	2	3	0
201310437380	1	215.54684	1	6	4	2	3	0
201310437380	2	215.54684	1	6	4	2	3	0
201310437393	1	197.12122	1	6	6	2	3	0
201310437394	1	98.56061	1	5	6	2	3	0
201310437394	2	98.56061	1	5	6	2	3	0
201310437406	1	81.438	1	5	1	2	3	0
201310437406	2	81.438	1	5	1	2	3	0
201310437408	1	217.168	1	6	3	2	3	0
201310437408	2	217.168	1	6	3	2	3	0
201310437415	1	107.77342	1	5	4	2	3	0
201310437419	1	323.32026	1	4	4	2	3	0
201310437428	1	49.280305	1	1	6	2	3	0
201310437428	2	49.280305	1	1	6	2	3	0
201310437428	3	49.280305	1	1	6	2	3	0
201310437428	4	49.280305	1	1	6	2	3	0
201310437430	1	344.962135	1	4	6	2	3	0
201310437431	1	197.12122	1	6	6	2	3	0
201310437438	1	344.962135	1	4	6	2	3	0
201310437442	1	98.56061	1	5	6	2	3	0
201310437442	2	98.56061	1	5	6	2	3	0
201310437447	1	49.280305	1	1	6	2	3	0
201310437448	1	49.280305	1	1	6	2	3	0
201310437448	2	49.280305	1	1	6	2	3	0
201310437451	1	179.70652	1	6	10	2	3	0
201310437451	2	179.70652	1	6	10	2	3	0
201310437452	1	89.85326	1	5	10	2	3	0
201310437466	1	81.438	1	5	2	2	3	0
201310437466	2	81.438	1	5	2	2	3	0
201310437470	1	81.438	1	5	3	2	3	0
201310437470	2	81.438	1	5	3	2	3	0
201310437471	1	352.898	1	4	3	2	3	0
201310437471	2	352.898	1	4	3	2	3	0
201310437479	1	81.438	1	5	3	2	3	0
201310437479	2	81.438	1	5	3	2	3	0
201310437485	1	215.54684	1	6	4	2	3	0
201310437487	1	323.32026	1	4	4	2	3	0
201310437487	2	323.32026	1	4	4	2	3	0
201310437493	1	344.962135	1	4	6	2	3	0
201310437495	1	98.56061	1	5	6	2	3	0
201310437495	2	98.56061	1	5	6	2	3	0
201310437496	1	49.280305	1	1	6	2	3	0
201310437496	2	49.280305	1	1	6	2	3	0
201310437506	1	359.41304	1	4	10	2	3	0
201310437506	2	359.41304	1	4	10	2	3	0
201310437506	3	359.41304	1	4	10	2	3	99
201310437508	1	106.644961	1	5	16	2	3	0
201310437510	1	106.644961	1	5	16	2	3	0
