MDRMANAV	REGION	STRATUM	CASENUM	WEIGHT	PJ	PSU	VEHNO
98	1	6	201010426254	135.73	2	2	1
0	1	2	201010426255	27.146	2	2	1
4	1	2	201010426255	27.146	2	2	2
98	1	6	201010426256	107.773	4	2	1
98	1	6	201010426256	107.773	4	2	2
0	1	1	201010426262	53.887	4	2	1
0	1	1	201010426262	53.887	4	2	2
98	1	4	201010426263	295.682	6	2	1
3	1	6	201010426264	147.841	6	2	1
4	1	4	201010426271	295.682	6	2	1
98	1	2	201010426272	49.28	6	2	1
0	1	6	201010426276	147.841	6	2	1
98	1	5	201010426282	49.28	6	2	1
98	1	4	201010426283	295.682	6	2	1
98	1	5	201010426284	49.28	6	2	1
0	1	6	201010426285	147.841	6	2	1
98	1	6	201010426290	147.841	6	2	1
98	1	5	201010426291	49.28	6	2	1
98	1	2	201010426292	49.28	6	2	1
98	1	2	201010426292	49.28	6	2	2
98	1	5	201010426293	49.28	6	2	1
98	1	5	201010426294	49.28	6	2	1
98	1	5	201010426294	49.28	6	2	2
0	1	2	201010426299	49.28	6	2	1
0	1	2	201010426299	49.28	6	2	2
0	1	4	201010426305	298.606	2	2	1
98	1	4	201010426305	298.606	2	2	2
0	1	3	201010426307	27.146	2	2	1
0	1	3	201010426307	27.146	2	2	2
0	1	3	201010426317	27.146	3	2	1
0	1	3	201010426317	27.146	3	2	2
98	1	6	201010426319	135.73	1	2	1
0	1	2	201010426321	27.146	1	2	1
0	1	2	201010426321	27.146	1	2	2
98	1	6	201010426324	107.773	4	2	1
0	1	6	201010426324	107.773	4	2	2
0	1	6	201010426324	107.773	4	2	3
0	1	5	201010426325	53.887	4	2	1
98	1	4	201010426328	269.434	4	2	1
98	1	6	201010426330	107.773	4	2	1
0	1	5	201010426332	89.853	10	2	1
0	1	5	201010426332	89.853	10	2	2
0	1	4	201010426333	269.56	10	2	1
0	1	4	201010426333	269.56	10	2	2
0	1	6	201010426334	89.853	10	2	1
98	1	6	201010426335	89.853	10	2	1
98	1	6	201010426335	89.853	10	2	2
0	1	6	201010426336	89.853	10	2	1
0	1	6	201010426337	89.853	10	2	1
0	1	6	201010426338	89.853	10	2	1
0	1	6	201010426338	89.853	10	2	2
98	1	1	201010426345	27.146	3	2	1
4	1	1	201010426345	27.146	3	2	2
0	1	6	201010426349	135.73	3	2	1
0	1	6	201010426351	147.841	6	2	1
3	1	6	201010426355	135.73	2	2	1
98	1	2	201010426362	89.853	10	2	1
98	1	2	201010426362	89.853	10	2	2
1	1	4	201010426364	295.682	6	2	1
99	1	6	201010426365	89.853	10	2	1
98	1	1	201010426366	49.28	6	2	1
98	1	4	201010426367	269.56	10	2	1
98	1	6	201010426368	89.853	10	2	1
98	1	5	201010426371	49.28	6	2	1
98	1	3	201010426373	49.28	6	2	1
98	1	6	201010426374	147.841	6	2	1
0	1	6	201010426374	147.841	6	2	2
98	1	4	201010426381	295.682	6	2	1
98	1	4	201010426382	269.434	4	2	1
0	1	4	201010426382	269.434	4	2	2
98	1	6	201010426409	135.73	1	2	1
0	1	4	201010426411	298.606	1	2	1
0	1	4	201010426411	298.606	1	2	2
98	1	5	201010426414	54.292	1	2	1
98	1	4	201010426424	298.606	3	2	1
98	1	4	201010426424	298.606	3	2	2
0	1	5	201010426426	54.292	3	2	1
98	1	6	201010426429	89.853	10	2	1
0	1	6	201010426431	89.853	10	2	1
0	1	6	201010426431	89.853	10	2	2
98	1	6	201010426434	89.853	10	2	1
0	1	4	201010426443	295.682	6	2	1
0	1	6	201010426446	107.773	4	2	1
0	1	5	201010426447	49.28	6	2	1
98	1	5	201010426447	49.28	6	2	2
98	1	6	201010426450	115.047	9	2	1
98	1	6	201010426450	115.047	9	2	2
98	1	6	201010426452	115.047	9	2	1
0	1	6	201010426452	115.047	9	2	2
98	1	4	201010426453	287.619	9	2	1
98	1	4	201010426453	287.619	9	2	2
98	1	6	201010426456	115.047	9	2	1
98	1	5	201010426457	57.524	9	2	1
98	1	4	201010426466	287.619	9	2	1
98	1	4	201010426472	287.619	9	2	1
98	1	4	201010426477	287.619	9	2	1
0	1	6	201010426479	115.047	9	2	1
98	1	6	201010426482	115.047	9	2	1
98	1	5	201010426483	57.524	9	2	1
98	1	5	201010426506	57.524	9	2	1
98	1	5	201010426506	57.524	9	2	2
0	1	6	201010426509	115.047	9	2	1
0	1	6	201010426509	115.047	9	2	2
98	1	4	201010426510	287.619	9	2	1
99	1	4	201010426510	287.619	9	2	2
0	1	5	201010426512	57.524	9	2	1
98	1	5	201010426512	57.524	9	2	2
98	1	6	201010426516	115.047	9	2	1
4	1	5	201010426520	54.292	2	2	1
0	1	5	201010426520	54.292	2	2	2
0	1	6	201010426526	135.73	2	2	1
99	1	3	201010426536	27.146	3	2	1
