REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PIMPACT2	PV_CONFIG	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT1	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	9	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	31	0	999999999999	1998	201010789466	293.914	000000000	0	31	1	399	0	0	7	3	1
1	2	99	99	77	0	0	0	7	1	0	99	0	0	2	0	1	0	28	0	ZA9AM4HF9AB1	2010	201010789600	5.079	999999999	0	28	3	999	1	1	1	3	1
1	4	7	48	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	9999	201010789634	294.566	000000000	0	26	3	499	0	0	99	3	1
1	3	58	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	JNKCV51E23M3	2003	201010789823	14.573	000000000	0	32	21	37	0	0	7	3	1
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	32	0	JT2B22KW0141	1998	201010789833	291.467	000000000	0	32	21	399	0	0	7	3	1
1	2	23	63	77	0	9	0	7	2	0	28	0	0	1	0	1	0	26	1	1GDJ7H1E71J9	2001	201010789881	7.379	999999999	0	26	13	881	1	1	3	3	1
1	2	23	31	77	0	0	0	7	2	0	0	0	0	1	0	1	0	26	0	1GTHC23U42F1	2002	201010789881	7.379	000000000	0	26	13	481	0	0	3	3	2
1	3	12	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	23	0	2FAFP70WX3X1	2003	201010789922	14.573	000000000	0	23	21	16	3	3	7	3	1
1	6	7	21	77	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	WD0PE8454852	2008	201010789956	129.114	000000000	0	27	8	462	0	0	7	3	1
1	4	41	48	0	0	0	0	7	1	0	0	0	0	1	0	1	0	97	0	999999999999	2002	201010790138	292.99	000000000	0	99	8	499	0	0	7	3	1
1	4	53	80	0	0	0	0	7	1	0	0	0	0	1	0	1	0	23	0	JS1GT74A6121	2001	201010790189	293.494	000000000	0	29	4	706	0	0	7	3	1
1	3	23	39	77	0	0	0	7	1	0	0	0	0	1	0	1	0	23	0	999999999999	1992	201010790231	14.758	000000000	0	23	13	499	2	2	7	3	1
1	4	84	79	77	0	9	0	7	1	0	28	0	0	1	0	1	0	31	99	999999999999	2009	201010790390	294.566	999999999	0	31	3	899	0	0	7	3	1
1	4	49	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	25	0	4T1BE46K37U1	2007	201010790896	292.99	000000000	0	25	8	40	1	1	97	3	1
1	4	20	21	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	1GBEG25KXRF1	1994	201010791402	291.467	000000000	0	26	21	461	0	0	7	3	1
