REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T1VV21E8MU0	1991	200910775352	307.888	000000000	0	3	8	40	0	0	99	3	1
1	4	7	31	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1D7HU18D25S5	2005	200910775387	306.041	000000000	0	3	21	482	0	0	7	3	1
1	2	99	59	9	0	0	0	9	1	0	22	0	0	1	0	1	0	999999999999	1993	200910775719	2.491	999999999	0	4	1	988	0	0	99	3	1
1	4	84	78	0	0	9	0	9	1	0	99	0	0	1	0	1	0	1HTMNAAL47H4	2007	200910775752	312.405	999999999	0	3	16	881	3	3	99	3	1
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T1BF32K82U0	2002	200910775878	306.041	000000000	0	3	21	40	1	1	7	3	1
1	4	22	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	6G2ER577X8L9	2008	200910775913	310.913	000000000	0	4	10	24	0	0	7	3	1
1	4	54	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JH4CL96847C0	2007	200910775913	310.913	000000000	0	4	10	39	0	0	7	3	2
1	4	37	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1995	200910775960	309.802	000000000	0	1	3	399	0	0	99	3	1
1	4	58	2	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JNKCV64E78M1	2008	200910776289	307.888	000000000	0	99	8	398	0	0	99	3	1
1	5	12	15	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMRU1669YLB	2000	200910776439	66.023	000000000	0	12	3	422	0	0	7	3	1
1	4	19	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1995	200910776447	309.802	000000000	0	3	3	399	0	0	7	3	1
1	4	58	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JNKCV51F75M3	2005	200910776683	309.918	000000000	0	4	13	37	0	0	99	3	1
1	4	35	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	5N1AR18B98C6	2008	200910777025	306.041	000000000	0	14	21	401	1	1	6	3	1
1	4	37	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2HGES26742H5	2002	200910777227	306.041	000000000	0	1	21	31	0	0	99	3	1
1	3	20	2	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2006	200910777272	20.315	000000000	0	3	3	399	0	0	99	3	1
1	1	98	93	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	9999	200910777274	5.079	000000000	0	99	3	998	0	0	99	3	1
1	5	49	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JT3HN87R3X02	1999	200910777665	66.023	000000000	0	12	3	401	0	0	6	3	1
1	5	35	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JN8AZ08W24W3	2004	200910777665	66.023	000000000	0	12	3	49	0	0	6	3	2
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2T1BR32E48C9	2008	200910777682	306.041	000000000	0	2	21	32	0	0	99	3	1
1	5	12	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMZU77E91UC	2001	200910777696	66.966	000000000	0	3	10	401	0	0	99	3	1
1	5	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JTDBT1232101	2001	200910777696	66.966	000000000	0	4	10	45	0	0	99	3	2
1	4	37	15	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2HKYF18447H5	2007	200910778273	309.918	000000000	0	2	13	421	0	0	99	3	1
1	4	49	9	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2007	200910778273	309.918	000000000	0	4	13	399	0	0	99	3	2
1	1	7	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1D8GU28K27W5	2007	200910778347	5.056	000000000	0	3	7	403	0	0	2	3	1
1	4	23	39	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2009	200910778573	309.802	000000000	0	3	3	499	1	1	99	3	1
1	4	55	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KMHDN45DX1U2	2001	200910778580	312.405	000000000	0	3	16	35	1	1	7	3	1
1	6	48	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4S3BH6656176	2001	200910778613	140.201	000000000	0	3	13	34	0	0	7	3	1
1	6	12	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMZU73E15UB	2005	200910778613	140.201	000000000	0	2	13	401	0	0	7	3	2
1	4	35	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2003	200910779021	306.041	000000000	0	3	21	399	0	0	7	3	1
1	4	49	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T3ZE11A39U0	2009	200910779283	310.913	000000000	0	12	10	398	0	0	99	3	1
1	4	35	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2001	200910779380	309.802	000000000	0	1	3	999	0	0	99	3	1
1	4	69	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	SCAZS42A9CCX	1982	200910779410	312.405	000000000	0	4	16	42	0	0	99	3	1
1	4	99	4	0	0	0	0	9	1	0	98	0	0	1	0	1	0	999999999999	9999	200910779410	312.405	999999999	0	99	16	399	0	0	99	3	2
1	6	12	15	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMPU18L6WLB	1998	200910779718	141.554	000000000	0	4	7	422	0	0	99	3	1
1	4	35	9	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2006	200910779898	309.802	000000000	0	4	3	399	0	0	7	3	1
1	4	20	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1983	200910780320	309.802	000000000	0	4	3	999	0	0	99	3	1
1	4	2	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2000	200910780320	309.802	000000000	0	4	3	404	0	0	99	3	2
1	4	20	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1995	200910780320	309.802	000000000	0	4	3	999	0	0	99	3	3
1	4	99	59	9	0	0	0	9	1	0	22	0	0	1	0	1	0	999999999999	9999	200910780352	306.041	999999999	0	1	21	989	99	1	7	3	1
1	4	55	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KMHWF35V81A4	2001	200910780422	307.888	000000000	0	3	8	33	1	1	99	3	1
1	4	32	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	WAUDF78E57A2	2007	200910780443	309.918	000000000	0	4	13	42	0	0	7	3	1
1	6	13	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1LNHM82W3XY6	1999	200910780460	139.285	000000000	0	3	4	1	0	0	99	3	1
1	4	47	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	YS3EF48Z7130	2001	200910780484	308.386	000000000	0	4	7	36	0	0	99	3	1
1	4	49	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JT2SV21W7M03	1991	200910780792	309.918	000000000	0	3	13	40	0	0	99	3	1
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2T1BR12E2XC1	1999	200910780808	306.041	000000000	0	1	21	32	0	0	7	3	1
1	1	12	20	0	0	0	0	9	2	0	0	0	0	1	0	1	0	2FMZA53483BB	2003	200910780976	5.079	000000000	0	3	3	442	0	0	7	3	1
1	4	82	78	0	0	9	0	2	1	0	99	0	0	1	0	1	0	1FVACXAKX4HM	2004	200910781356	307.888	999999999	0	3	8	881	0	0	99	3	1
1	4	34	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	WBAFA53571LM	2001	200910781395	310.913	000000000	0	1	10	401	0	0	7	3	1
1	4	99	78	0	0	0	0	9	1	0	97	0	0	2	0	1	0	1J9VM4LDX8C1	2008	200910781535	312.405	999999999	0	3	16	899	1	0	1	3	1
1	1	12	31	0	0	0	0	9	2	0	0	0	0	1	0	1	0	1FDSX34L7YEB	2000	200910782304	7.379	000000000	0	3	13	481	0	0	99	3	1
1	6	35	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2002	200910782428	145.734	000000000	0	2	21	399	0	0	7	3	1
1	4	54	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2002	200910782485	309.802	000000000	0	3	3	999	0	0	99	3	1
1	4	58	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	JNKCV51E63M0	2003	200910782691	310.913	000000000	0	3	10	37	0	0	7	3	1
1	2	99	49	0	0	0	0	9	2	0	0	0	0	1	0	1	0	999999999999	9999	200910782743	5.079	000000000	0	4	3	999	0	0	99	3	1
1	4	12	29	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2005	200910782750	309.802	000000000	0	3	3	499	0	0	99	3	1
1	4	12	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMZU72K74UA	2004	200910782754	308.386	000000000	0	3	7	401	0	0	7	3	1
1	6	19	15	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1GYFK63897R3	2007	200910782863	139.046	000000000	0	3	8	421	0	0	99	3	1
1	5	12	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2FMDK46C27BB	2007	200910782878	69.523	000000000	0	12	8	24	0	0	99	3	1
1	5	6	20	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2C4GP44343R3	2003	200910782878	69.523	000000000	0	12	8	441	0	0	99	3	2
1	1	14	14	0	0	0	0	9	2	0	0	0	0	1	0	1	0	4M2DU55P4VUJ	1997	200910782933	14.573	000000000	0	3	21	401	0	0	99	3	1
1	5	20	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1G1JC52F9372	2003	200910782936	72.867	000000000	0	1	21	16	0	0	99	3	1
