OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
2	4	200910422639	287.619	4	1	1	4	9	2	1	1
137	6	200910422641	115.047	3	1	1	98	9	2	1	1
2	5	200910422642	57.524	4	1	1	1	9	2	1	1
2	5	200910422645	57.524	5	1	3	1	9	2	1	1
2	4	200910422651	295.682	4	1	1	2	6	2	1	1
158	6	200910422655	147.841	3	1	1	98	6	2	1	1
158	6	200910422655	147.841	3	2	4	98	6	2	1	1
126	4	200910422660	295.682	2	1	2	98	6	2	1	1
158	5	200910422668	81.438	3	1	1	98	3	2	1	1
101	5	200910422668	81.438	1	2	0	98	3	2	1	1
124	4	200910422678	298.606	2	1	1	98	1	2	1	1
158	4	200910422682	269.56	3	1	1	98	10	2	1	1
135	6	200910422684	179.707	3	1	1	98	10	2	1	1
101	6	200910422684	179.707	1	2	0	98	10	2	1	1
2	4	200910422691	323.32	5	1	4	1	4	2	1	1
124	4	200910422711	295.682	2	1	1	98	6	2	1	1
124	4	200910422717	298.606	2	1	1	98	3	2	1	1
140	6	200910422722	135.73	3	1	1	98	1	2	1	1
2	4	200910422729	269.56	4	1	1	4	10	2	1	1
2	5	200910422730	89.853	5	1	1	1	10	2	1	1
145	6	200910422733	179.707	3	1	1	98	10	2	1	1
158	4	200910422735	269.56	3	1	1	98	10	2	1	1
2	5	200910422738	89.853	5	1	3	1	10	2	1	1
2	5	200910422739	89.853	4	1	1	3	10	2	1	1
136	5	200910422739	89.853	3	2	4	98	10	2	1	1
101	5	200910422739	89.853	1	3	0	98	10	2	1	1
137	5	200910422739	89.853	3	4	4	98	10	2	1	1
2	6	200910422741	179.707	5	1	4	4	10	2	1	1
126	4	200910422742	269.56	2	1	4	98	10	2	1	1
141	4	200910422745	269.56	3	1	1	98	10	2	1	1
158	4	200910422745	269.56	3	2	1	98	10	2	1	1
2	5	200910422750	49.28	5	1	3	1	6	2	1	1
2	5	200910422755	49.28	4	1	1	4	6	2	1	1
3	5	200910422755	49.28	4	2	1	3	6	2	1	2
158	5	200910422755	49.28	3	3	1	98	6	2	1	4
2	6	200910422756	147.841	4	1	1	3	6	2	1	1
2	4	200910422757	295.682	5	1	2	1	6	2	1	1
145	5	200910422760	49.28	3	1	2	98	6	2	1	1
145	5	200910422760	49.28	3	2	1	98	6	2	1	1
124	4	200910422765	295.682	2	1	1	98	6	2	1	1
2	5	200910422768	49.28	4	1	1	1	6	2	1	1
3	5	200910422768	49.28	5	2	4	1	6	2	1	1
146	4	200910422781	298.606	3	1	1	98	3	2	1	1
135	6	200910422782	135.73	3	1	1	98	3	2	1	1
2	5	200910422784	81.438	4	1	1	1	3	2	1	1
2	1	200910422799	27.146	4	1	1	1	1	2	1	1
145	6	200910422801	135.73	3	1	1	98	1	2	1	1
2	4	200910422810	269.56	4	1	1	6	10	2	1	1
145	1	200910422812	53.887	3	1	1	98	4	2	1	1
145	1	200910422812	53.887	3	2	99	98	4	2	1	1
2	6	200910422813	161.66	5	1	4	1	4	2	1	1
158	5	200910422815	53.887	3	1	1	98	4	2	1	1
158	5	200910422815	53.887	3	2	99	98	4	2	1	1
145	5	200910422815	53.887	3	3	99	98	4	2	1	1
2	4	200910422821	323.32	4	1	1	2	4	2	1	1
2	1	200910422833	27.146	5	1	2	1	2	2	1	1
101	1	200910422833	27.146	1	2	0	98	2	2	1	1
158	1	200910422834	27.146	3	1	1	98	2	2	1	1
2	1	200910422834	27.146	4	2	1	3	2	2	1	1
3	1	200910422834	27.146	4	3	15	1	2	2	1	2
2	5	200910422836	81.438	4	1	1	1	2	2	1	1
2	4	200910422839	298.606	5	1	3	1	2	2	1	1
2	6	200910422846	135.73	4	1	1	1	2	2	1	1
124	4	200910422854	298.606	2	1	1	98	2	2	1	1
2	6	200910422864	147.841	5	1	2	1	6	2	1	1
138	6	200910422864	147.841	3	2	99	98	6	2	1	1
101	6	200910422864	147.841	1	3	0	98	6	2	1	1
140	5	200910422866	49.28	3	1	1	98	6	2	1	1
