REGION	STRATUM	CASENUM	WEIGHT	EVENTNUM	PGAD	PVEHNO	PJ	PSU
1	4	200910787133	307.888	1	1	1	8	3
1	6	200911159138	121.593	1	12	1	17	4
1	4	200911159378	313.116	1	3	1	2	4
1	4	200911159462	305.288	4	11	1	7	4
1	4	200911159473	313.116	1	3	1	1	4
1	4	200911159509	313.116	1	14	1	1	4
1	1	200911159575	121.593	1	1	1	17	4
1	4	200911159585	296.808	1	4	1	11	4
1	4	200911159821	298.504	1	1	1	6	4
1	4	200911160034	313.116	1	11	1	3	4
1	4	200911160189	313.116	1	14	1	2	4
1	4	200911160382	364.78	1	3	1	17	4
1	4	200911161065	305.288	2	13	1	7	4
1	6	200911161275	143.512	1	14	1	4	4
1	6	200911161365	118.723	2	12	1	11	4
1	6	200911162136	143.512	1	3	1	1	4
1	6	200911162201	121.593	1	4	1	17	4
1	4	200911162223	296.808	1	3	1	11	4
1	1	200911162663	13.047	1	1	1	1	4
1	4	200911162960	296.808	1	4	1	11	4
1	4	200911162990	298.504	1	14	1	6	4
1	5	200911163045	67.842	1	14	1	7	4
1	4	200911163232	298.504	1	3	1	6	4
1	4	200911163504	313.116	1	3	1	2	4
1	4	200911163643	313.116	1	14	1	1	4
1	3	200911163773	121.593	1	3	1	17	4
1	3	200911163773	121.593	2	3	2	17	4
1	4	200911164050	313.116	1	1	1	1	4
1	5	200911165035	67.842	2	3	1	7	4
1	4	200911165176	296.808	1	3	1	11	4
1	4	200911165449	313.116	1	2	1	2	4
1	4	200911165529	305.288	1	3	1	7	4
1	1	200911166028	13.047	4	12	1	4	4
1	4	200911166110	298.504	1	3	1	6	4
1	4	200911166256	313.116	1	3	1	2	4
1	6	200911166287	135.684	1	4	1	6	4
1	5	200911166307	65.233	2	12	1	2	4
1	4	200911166980	313.116	1	1	1	2	4
1	4	200911167011	313.116	1	14	1	4	4
1	6	200911167032	143.512	1	4	1	3	4
1	4	200911167314	296.808	1	13	1	11	4
1	5	200911167328	67.842	1	14	1	7	4
1	3	200911167436	13.047	2	14	1	1	4
1	4	200911167464	313.116	1	3	1	1	4
1	4	200911167565	298.504	1	3	1	6	4
1	6	200911167701	121.593	1	4	1	17	4
1	6	200911168409	143.512	1	13	1	3	4
1	6	200911168580	143.512	1	14	1	2	4
1	6	200911168790	135.684	1	14	1	7	4
1	4	200911168956	296.808	1	13	1	11	4
1	6	200911514760	138.075	2	4	1	1	5
1	6	200911514760	138.075	3	4	2	1	5
1	6	200911515004	148.127	1	14	1	8	5
1	2	200911515084	5.523	2	11	1	1	5
1	1	200911515326	5.523	2	3	1	3	5
1	5	200911515329	66.276	1	3	1	3	5
1	6	200911515931	148.127	1	4	1	8	5
1	1	200911515959	16.459	1	4	1	8	5
1	3	200911515990	16.569	1	14	1	1	5
1	6	200911516002	138.075	1	4	1	1	5
1	6	200911516002	138.075	2	4	2	1	5
1	2	200911516023	16.459	1	4	1	8	5
1	6	200911516438	148.127	2	1	1	8	5
1	6	200911516492	153.539	2	3	1	22	5
1	6	200911516547	134.54	2	99	1	16	5
1	5	200911516737	65.834	1	12	1	8	5
1	5	200911516737	65.834	2	2	2	8	5
1	5	200911516737	65.834	3	3	3	8	5
1	5	200911516737	65.834	4	4	4	8	5
1	5	200911517461	66.276	2	3	1	3	5
1	5	200912002718	68.952	2	3	1	4	6
1	6	200912002740	139.449	2	3	1	14	6
1	2	200912412416	12.435	3	99	1	4	8
1	2	200912412416	12.435	4	4	2	4	8
1	2	200912412416	12.435	5	4	3	4	8
1	6	200912412431	141.911	2	4	1	15	8
1	6	200912412656	99.48	1	3	1	69	8
1	6	200912412674	123.095	1	14	1	51	8
1	6	200912412674	123.095	3	3	2	51	8
1	2	200912412705	12.847	1	4	1	2	8
1	6	200912412741	98.855	1	4	1	120	8
1	6	200912412741	98.855	2	3	1	120	8
1	5	200912412876	69.211	3	2	1	5	8
1	6	200912413111	141.911	2	2	1	15	8
1	6	200912413140	98.855	1	14	1	120	8
1	6	200912413354	141.911	1	1	1	15	8
1	5	200912413358	61.547	4	12	1	51	8
1	5	200912413395	69.211	2	12	1	5	8
1	5	200912413491	59.49	1	4	1	22	8
1	5	200912413491	59.49	2	13	2	22	8
1	5	200912413491	59.49	4	13	3	22	8
1	5	200912413568	56.764	1	1	1	15	8
1	5	200912413568	56.764	2	2	2	15	8
1	6	200912413571	141.911	1	2	1	15	8
1	6	200912413575	123.095	1	4	1	51	8
1	5	200912413832	58.586	1	3	1	47	8
1	6	200912413887	117.172	1	2	1	47	8
1	5	200912413970	69.211	1	4	1	5	8
1	5	200912413993	99.48	1	4	1	69	8
1	4	200912414117	307.737	1	14	1	51	8
1	5	200912414214	58.586	1	1	1	47	8
1	6	200912414269	138.423	2	1	1	5	8
1	2	200912414270	17.303	1	3	1	5	8
1	2	200912414270	17.303	6	4	2	5	8
1	5	200912414322	56.764	3	1	1	15	8
1	5	200912414336	71.372	2	2	1	8	8
1	6	200912414513	135.463	1	12	1	33	8
2	4	200912800139	304.811	1	12	1	1	11
3	2	200913028738	4.798	1	4	1	6	9
3	1	200913029530	7.877	1	4	1	8	9
3	1	200913029549	4.798	1	4	1	3	9
3	5	200913029623	67.165	1	4	1	7	9
3	2	200913030485	4.798	1	3	1	1	9
3	5	200913031369	67.165	1	4	1	2	9
3	4	200913031432	311.837	1	4	1	7	9
3	1	200913032399	4.798	1	4	1	2	9
3	1	200913032399	4.798	2	4	2	2	9
3	5	200913032669	67.165	1	4	1	5	9
3	5	200913032669	67.165	2	4	2	5	9
3	1	200913032885	4.798	1	14	1	3	9
3	1	200913032885	4.798	2	4	2	3	9
3	1	200913032885	4.798	3	4	3	3	9
3	4	200913032954	297.445	1	3	1	16	9
3	4	200913033319	311.837	1	3	1	5	9
3	2	200913033412	4.798	2	4	1	2	9
3	2	200913033715	4.798	1	4	1	2	9
3	4	200913033766	311.837	1	1	1	3	9
3	6	200913033805	139.127	1	4	1	3	9
3	1	200913033997	4.798	2	1	1	2	9
3	2	200913034035	4.798	1	3	1	2	9
3	4	200913034231	307.196	1	14	1	8	9
3	5	200913034445	67.165	1	2	1	2	9
3	5	200913034445	67.165	2	2	2	2	9
3	5	200913035034	67.165	1	13	1	2	9
2	2	200913530451	19.051	1	14	1	4	11
2	6	200913531917	133.355	1	4	1	5	11
2	4	200913532636	304.811	1	14	1	2	11
2	5	200913533369	76.203	2	3	1	2	11
2	5	200913533369	76.203	3	1	2	2	11
2	6	200913534044	146.963	1	14	1	7	11
2	4	200913534416	304.811	1	12	1	1	11
2	4	200914060442	308.827	1	4	1	1	12
2	4	200914060866	311.813	1	11	1	9	12
2	4	200914060866	311.813	2	1	2	9	12
2	4	200914061274	308.827	1	14	1	1	12
2	4	200914061511	308.827	1	4	1	1	12
2	4	200914061676	308.827	1	14	1	1	12
2	4	200914062526	308.827	1	3	1	1	12
2	4	200914062839	334.739	1	14	1	14	12
2	6	200914063002	138.657	1	14	1	4	12
2	4	200914063123	308.827	1	3	1	1	12
2	4	200914063742	308.827	1	14	1	1	12
2	5	200914064168	69.329	3	14	1	1	12
2	4	200914065922	334.739	1	12	1	14	12
2	4	200914100228	309.009	1	13	1	9	74
2	4	200914100228	309.009	2	13	2	9	74
2	4	200914100228	309.009	3	13	3	9	74
2	1	200914100475	4.176	2	4	1	9	74
2	2	200914100679	4.176	1	1	1	1	74
2	4	200914100733	309.009	1	3	1	1	74
2	4	200914733954	311.734	1	1	1	1	13
2	6	200914733990	183.373	1	2	1	7	13
2	6	200914734168	155.867	1	4	1	6	13
2	4	200914734346	311.734	1	4	1	5	13
2	4	200914734348	311.734	1	12	1	1	13
2	4	200914734488	311.734	1	12	1	1	13
2	4	200914734501	311.734	1	3	1	1	13
2	4	200914734792	311.734	1	12	1	1	13
2	4	200914734931	311.734	1	3	1	1	13
2	3	200914734942	38.967	1	3	1	1	13
2	4	200914734946	311.734	1	3	1	1	13
2	4	200914735016	311.734	1	12	1	4	13
2	4	200914735041	311.734	1	14	1	1	13
2	6	200914735274	155.867	1	14	1	3	13
2	4	200914735336	311.734	1	14	1	1	13
2	4	200914735408	311.734	1	12	1	1	13
2	4	200914735567	311.734	1	12	1	1	13
2	4	200914735840	311.734	1	3	1	5	13
2	3	200914735855	38.967	1	14	1	6	13
2	4	200914735899	311.734	1	3	1	1	13
2	4	200914735917	311.734	1	14	1	1	13
2	6	200914736236	155.867	1	11	1	4	13
2	4	200914736290	311.734	1	14	1	1	13
2	4	200914736558	311.734	1	14	1	1	13
2	4	200914736654	311.734	1	14	1	1	13
2	4	200914736877	311.734	1	12	1	1	13
2	6	200914736915	155.867	1	2	1	1	13
2	6	200914737043	155.867	1	14	1	3	13
2	6	200914737519	155.867	1	2	1	1	13
2	4	200914737598	311.734	1	13	1	6	13
2	6	200914737679	155.867	2	13	1	2	13
2	3	200914737721	38.967	2	3	1	2	13
2	5	200914737800	77.933	1	4	1	6	13
2	4	200914738111	311.734	1	14	1	1	13
1	4	200914834822	310.974	1	12	1	5	21
1	4	200914835557	310.974	1	12	1	5	21
1	4	200914835911	307.617	1	3	1	11	21
1	5	200914836680	67.3	2	3	1	5	21
1	4	200914837316	315.503	1	13	1	16	21
1	4	200914837337	310.974	1	3	1	5	21
2	6	200914960920	136.63	4	14	1	16	33
2	6	200914960920	136.63	5	12	2	16	33
2	1	200914961699	6.255	4	1	1	8	33
2	4	200914962196	310.58	1	3	1	3	10
2	3	200914962399	13.597	1	12	1	15	10
2	6	200914962960	140.436	1	4	1	1	10
2	2	200914963327	2.701	2	4	1	3	10
3	3	200915440372	20.054	2	1	1	1	41
3	3	200915440396	20.054	1	4	1	1	41
3	5	200915441352	70.188	1	4	1	2	41
3	6	200915441900	140.375	2	3	1	1	41
3	1	200915442007	10.027	1	4	1	3	41
3	4	200915442196	310.831	1	3	1	2	41
3	4	200915442456	310.831	1	2	1	1	41
3	2	200915442707	10.027	2	12	1	1	41
3	1	200915443073	10.027	3	4	1	2	41
3	1	200915443303	10.027	5	3	1	2	41
3	5	200915443541	70.188	2	2	1	2	41
3	4	200915443646	310.831	2	3	1	1	41
3	4	200915443646	310.831	3	12	2	1	41
3	2	200915443700	10.027	2	3	1	1	41
3	2	200915443700	10.027	3	1	2	1	41
3	6	200915444011	140.375	2	3	1	1	41
3	5	200915444038	70.188	2	2	1	2	41
3	6	200915444089	140.375	1	4	1	3	41
3	1	200915444121	10.027	2	2	1	2	41
3	6	200915444219	140.375	1	4	1	2	41
3	2	200915445173	10.027	1	3	1	2	41
3	6	200915445294	140.375	1	4	1	2	41
3	6	200915445294	140.375	2	4	2	2	41
3	6	200915445294	140.375	3	4	3	2	41
3	1	200915445743	10.027	3	4	1	3	41
3	1	200915445743	10.027	4	11	1	3	41
3	5	200915445823	70.188	1	3	1	2	41
3	6	200915445975	140.375	1	4	1	2	41
3	3	200915446075	20.054	1	2	1	1	41
3	3	200915446075	20.054	2	2	2	1	41
3	2	200915446163	10.027	1	4	1	3	41
3	5	200915446550	70.188	1	4	1	2	41
3	5	200915446550	70.188	2	3	1	2	41
3	1	200915700632	4.798	1	4	1	1	9
3	6	200915800127	134.436	1	4	1	3	43
3	3	200916126567	12.222	1	1	1	4	43
3	6	200916126882	134.436	1	4	1	1	43
3	4	200916126972	289.921	1	14	1	6	43
3	4	200916128200	305.538	1	2	1	1	43
3	4	200916128613	305.538	1	13	1	1	43
3	6	200916129008	134.436	3	3	1	3	43
3	6	200916129008	134.436	4	3	2	3	43
3	6	200916129008	134.436	5	3	3	3	43
3	6	200916129008	134.436	6	3	4	3	43
3	6	200916129564	134.436	2	3	1	1	43
3	4	200916129672	305.538	1	3	1	1	43
3	4	200916130212	305.538	1	2	1	1	43
3	4	200916130450	305.538	1	12	1	1	43
3	4	200916130689	305.538	1	3	1	1	43
3	4	200916132147	305.538	1	3	1	1	43
3	4	200916132416	305.538	1	2	1	3	43
3	4	200916132447	305.538	1	4	1	1	43
3	4	200916132631	289.921	1	3	1	6	43
3	4	200916133259	305.538	1	2	1	1	43
3	3	200916133265	12.222	3	2	1	1	43
3	4	200916133478	289.921	1	11	1	6	43
3	4	200916134387	305.538	1	3	1	1	43
3	3	200916134453	12.222	1	14	1	1	43
3	4	200916135363	305.538	1	14	1	1	43
3	4	200916135430	305.538	1	3	1	1	43
3	2	200916135544	41.417	3	14	1	6	43
3	2	200916135544	41.417	4	3	1	6	43
3	4	200916139418	305.538	1	3	1	1	43
3	4	200916139452	305.538	1	11	1	1	43
3	1	200916543106	10.106	3	1	1	1	45
3	2	200916543745	10.106	1	4	1	1	45
3	3	200916543832	20.212	3	4	1	2	45
3	1	200916544591	10.106	1	4	1	1	45
3	2	200916545648	10.106	2	4	1	1	45
3	1	200916545993	10.106	3	1	3	1	45
3	1	200916545993	10.106	4	1	2	1	45
3	1	200916545993	10.106	5	1	1	1	45
3	4	200916546377	313.292	1	4	1	1	45
3	6	200916546478	141.487	3	4	1	1	45
3	6	200916546478	141.487	4	2	2	1	45
3	6	200916546478	141.487	5	1	3	1	45
3	4	200916547089	313.292	1	3	1	2	45
3	4	200916547764	313.292	1	1	1	1	45
3	6	200916548165	141.487	1	4	1	1	45
3	4	200916549044	313.292	1	4	1	1	45
3	4	200916549124	313.292	1	3	1	2	45
3	4	200916549473	313.292	1	1	1	1	45
3	1	200916549917	10.106	1	3	1	1	45
3	4	200916550159	313.292	1	11	1	2	45
3	1	200916550589	10.106	3	1	2	1	45
3	1	200916550589	10.106	4	1	3	1	45
3	1	200916550589	10.106	5	1	4	1	45
3	1	200916550589	10.106	6	12	1	1	45
3	6	200916550939	141.487	5	3	1	1	45
3	6	200916550939	141.487	6	4	2	1	45
3	6	200916550939	141.487	7	4	3	1	45
3	1	200916551052	10.106	5	1	1	1	45
3	1	200916551052	10.106	6	1	2	1	45
3	1	200916551052	10.106	7	1	3	1	45
3	4	200916551522	313.292	1	12	1	1	45
3	4	200916551566	313.292	2	13	1	1	45
3	4	200916552157	313.292	1	3	1	1	45
3	3	200916553648	20.212	1	4	1	1	45
3	4	200916554482	313.292	1	3	1	1	45
3	4	200917125316	318.62	1	1	1	1	51
3	4	200917125321	318.62	1	1	1	1	51
3	4	200917125339	318.62	2	2	1	1	51
3	4	200917125339	318.62	3	2	1	1	51
3	4	200917125361	318.62	1	4	1	1	51
3	4	200917125361	318.62	2	4	2	1	51
3	4	200917125409	318.62	1	1	1	1	51
3	6	200917125430	159.31	1	1	1	1	51
3	5	200917125457	79.655	4	3	1	1	51
3	3	200917125574	79.655	1	14	1	1	51
3	4	200917125635	318.62	1	3	1	1	51
3	5	200917125654	79.655	1	3	1	1	51
3	4	200917125679	318.62	1	3	1	1	51
3	6	200917125700	159.31	1	4	1	2	51
3	4	200917125751	318.62	1	3	1	1	51
3	3	200917125804	79.655	1	3	1	1	51
3	3	200917125822	79.655	1	1	1	1	51
3	3	200917125822	79.655	2	4	2	1	51
3	5	200917125888	79.655	1	4	1	1	51
3	6	200917125893	159.31	1	3	3	1	51
3	6	200917125893	159.31	2	3	2	1	51
3	6	200917125893	159.31	3	2	1	1	51
3	3	200917125899	79.655	3	1	1	1	51
3	4	200917125937	318.62	1	3	1	1	51
3	6	200917126000	159.31	1	3	1	1	51
3	4	200917126022	318.62	1	3	1	1	51
3	3	200917126031	79.655	2	4	1	1	51
3	4	200917126032	318.62	1	14	1	1	51
3	4	200917126093	318.62	1	3	1	2	51
3	4	200917126108	318.62	1	3	1	1	51
3	4	200917126142	318.62	1	1	1	1	51
3	4	200917126181	318.62	1	1	1	1	51
3	4	200917126186	318.62	1	4	1	1	51
3	4	200917126194	318.62	1	2	1	1	51
3	6	200917126195	159.31	1	3	1	1	51
3	6	200917126195	159.31	2	4	2	1	51
3	6	200917126212	159.31	1	3	1	1	51
3	6	200917126212	159.31	2	1	2	1	51
3	6	200917126212	159.31	3	1	3	1	51
3	6	200917126212	159.31	4	4	4	1	51
3	6	200917126212	159.31	5	1	5	1	51
3	4	200917126241	318.62	1	2	1	1	51
3	6	200917126380	159.31	1	4	1	1	51
3	4	200917126425	318.62	1	3	1	1	51
3	4	200917126453	318.62	1	3	1	1	51
3	4	200917126462	318.62	1	3	1	1	51
3	4	200917126524	318.62	1	3	1	1	51
3	3	200917126573	79.655	1	4	1	1	51
3	4	200917126638	318.62	1	3	1	1	51
3	4	200917126645	318.62	1	3	1	1	51
3	4	200917126663	318.62	1	2	1	1	51
3	4	200917126694	318.62	1	2	1	1	51
3	6	200917126734	159.31	2	3	1	1	51
3	6	200917126806	159.31	3	3	1	1	51
3	6	200917126806	159.31	4	2	2	1	51
3	6	200917126806	159.31	5	2	3	1	51
3	5	200917126813	79.655	5	1	1	1	51
3	4	200917126858	318.62	1	4	1	2	51
3	6	200917126871	159.31	1	4	1	1	51
3	6	200917126871	159.31	2	4	2	1	51
3	4	200917126877	318.62	1	2	1	1	51
3	5	200917126887	79.655	1	4	1	1	51
3	5	200917126887	79.655	2	4	2	1	51
3	5	200917126887	79.655	3	4	3	1	51
3	4	200917126891	318.62	1	4	1	1	51
3	4	200917126943	318.62	1	3	1	1	51
3	4	200917126973	318.62	1	1	1	1	51
3	6	200917127012	159.31	1	4	1	1	51
3	6	200917127012	159.31	2	4	2	1	51
3	6	200917127012	159.31	3	1	3	1	51
3	4	200917127019	318.62	1	4	1	1	51
3	3	200917127031	79.655	2	2	1	1	51
3	4	200917127116	318.62	1	2	1	1	51
3	6	200917127244	159.31	2	3	1	1	51
3	4	200917127248	318.62	1	4	1	1	51
3	6	200917127264	159.31	1	4	1	1	51
3	3	200917127328	79.655	1	4	1	2	51
3	4	200917127333	318.62	1	3	1	2	51
3	6	200917127348	159.31	1	1	1	1	51
3	4	200917127383	318.62	1	3	1	1	51
3	6	200917127386	159.31	1	4	1	1	51
3	4	200917127465	318.62	1	3	1	1	51
3	6	200917127467	159.31	1	4	1	1	51
3	5	200917127480	79.655	2	3	1	1	51
3	4	200917127538	318.62	1	2	1	1	51
3	4	200917127610	318.62	1	2	1	1	51
3	4	200917127621	318.62	2	1	1	1	51
3	6	200917127625	159.31	3	2	1	1	51
3	4	200917127635	318.62	1	3	1	1	51
3	3	200917127659	79.655	1	1	1	1	51
3	4	200917127735	318.62	1	3	2	1	51
3	4	200917127735	318.62	3	3	1	1	51
3	6	200917127788	159.31	1	12	1	1	51
3	4	200917127810	318.62	1	14	1	1	51
3	5	200917127839	79.655	2	3	1	1	51
3	6	200917127872	159.31	1	4	1	1	51
3	6	200917127872	159.31	2	1	2	1	51
3	3	200917127880	79.655	1	1	1	1	51
3	4	200917127921	318.62	1	2	1	1	51
3	3	200917127941	79.655	1	4	1	1	51
3	3	200917127941	79.655	2	3	2	1	51
3	4	200917127946	318.62	1	4	1	1	51
3	6	200917127976	159.31	1	3	1	2	51
3	4	200917127979	318.62	1	4	1	1	51
3	6	200917128016	159.31	1	3	1	1	51
3	4	200917128029	318.62	1	3	1	1	51
3	6	200917128035	159.31	1	4	1	1	51
3	4	200917128042	318.62	1	3	1	1	51
3	4	200917128096	318.62	1	1	1	1	51
3	4	200917128096	318.62	2	1	2	1	51
3	4	200917128118	318.62	1	3	1	1	51
3	3	200917128150	79.655	1	4	1	1	51
3	4	200917128155	318.62	1	3	1	1	51
3	4	200917128186	318.62	1	3	1	1	51
3	4	200917128216	318.62	1	3	1	1	51
3	4	200917128298	318.62	1	2	1	1	51
3	4	200917128392	318.62	1	2	1	1	51
3	5	200917128424	79.655	2	4	1	1	51
3	5	200917128424	79.655	3	4	2	1	51
3	4	200917128528	318.62	1	1	1	1	51
3	6	200917128532	159.31	1	4	1	1	51
3	1	200917128585	79.655	1	3	1	1	51
3	1	200917128585	79.655	2	4	2	1	51
3	4	200917253308	311.784	1	3	1	4	48
3	4	200917253357	311.784	1	3	1	1	48
3	4	200917253364	311.784	1	4	1	1	48
3	4	200917253658	311.784	1	2	1	1	48
3	1	200917253936	51.964	1	2	1	1	48
3	4	200917254106	311.784	1	2	1	1	48
3	5	200917254675	51.964	2	3	1	5	48
3	1	200917254725	51.964	1	1	1	1	48
3	4	200917254834	311.784	1	3	1	1	48
3	6	200917255118	155.892	3	4	1	1	48
3	1	200917255246	51.964	3	99	1	1	48
3	1	200917255261	51.964	3	3	1	1	48
3	4	200917255284	311.784	1	4	1	4	48
3	4	200917255315	311.784	1	3	1	1	48
3	1	200917255363	51.964	2	99	2	1	48
3	1	200917255363	51.964	3	99	1	1	48
3	5	200917255684	51.964	1	4	1	1	48
3	4	200917255805	311.784	1	3	1	4	48
3	4	200917256059	311.784	1	4	1	1	48
3	4	200917256354	311.784	1	4	1	1	48
3	4	200917256560	311.784	1	4	1	1	48
3	4	200917256653	311.784	1	1	1	1	48
3	6	200917256850	155.892	2	4	1	1	48
3	6	200917256850	155.892	3	4	1	1	48
3	4	200917256945	311.784	1	14	1	1	48
3	4	200917256976	311.784	1	3	1	1	48
3	4	200917257023	311.784	1	1	1	1	48
3	6	200917257052	155.892	1	2	1	1	48
3	4	200917257138	311.784	1	4	1	1	48
3	3	200917257141	51.964	1	4	1	1	48
3	4	200917257214	311.784	1	3	1	1	48
3	5	200917258569	51.964	1	2	1	1	48
3	4	200917258627	311.784	1	3	1	1	48
3	6	200917258824	155.892	3	3	1	1	48
3	4	200917258825	311.784	2	4	1	1	48
3	6	200917258862	155.892	1	1	1	1	48
3	6	200917259042	155.892	2	4	1	1	48
3	4	200917259348	311.784	1	3	1	1	48
3	4	200917259424	311.784	1	3	1	1	48
