MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
22	1	3	200911161300	13.047	1	2	4
98	1	5	200911161415	65.233	1	2	4
0	1	3	200911161419	13.047	1	2	4
0	1	3	200911161455	13.047	1	2	4
10	1	3	200911161645	13.047	1	2	4
7	1	3	200911161742	33.921	1	7	4
98	1	3	200911162331	13.047	1	3	4
7	1	3	200911162444	13.047	1	2	4
7	1	3	200911162490	13.047	1	2	4
7	1	3	200911162579	33.921	1	7	4
0	1	3	200911162627	27.137	1	6	4
0	1	3	200911162933	13.047	1	2	4
98	1	3	200911163025	27.137	1	6	4
10	1	3	200911163159	13.047	1	2	4
25	1	3	200911163549	33.921	1	7	4
0	1	3	200911163555	27.137	1	6	4
0	1	4	200911163797	298.504	1	6	4
0	1	4	200911163847	313.116	1	1	4
10	1	3	200911163871	13.047	1	2	4
5	1	3	200911163880	13.047	1	2	4
0	1	3	200911163884	13.047	1	2	4
29	1	3	200911163887	13.047	1	2	4
22	1	3	200911163894	13.047	1	2	4
10	1	4	200911164100	313.116	1	1	4
10	1	4	200911164100	313.116	2	1	4
0	1	3	200911164180	13.047	1	2	4
29	1	3	200911164187	13.047	1	3	4
29	1	3	200911164187	13.047	2	3	4
27	1	3	200911164253	27.137	1	6	4
21	1	3	200911164287	13.047	1	2	4
7	1	3	200911164355	59.362	1	11	4
29	1	3	200911164511	13.047	1	2	4
0	1	3	200911164613	13.047	1	3	4
0	1	3	200911164624	33.921	1	7	4
0	1	3	200911164624	33.921	2	7	4
7	1	3	200911164643	121.593	1	17	4
0	1	3	200911164655	13.047	1	2	4
0	1	3	200911164785	13.047	1	3	4
0	1	3	200911164785	13.047	2	3	4
7	1	3	200911164792	13.047	1	4	4
10	1	3	200911164794	13.047	1	3	4
0	1	3	200911164801	13.047	1	3	4
0	1	3	200911164823	13.047	1	1	4
22	1	3	200911164871	13.047	1	1	4
0	1	3	200911164885	13.047	1	1	4
21	1	3	200911164949	13.047	1	2	4
98	1	3	200911164959	13.047	1	2	4
7	1	3	200911164972	13.047	1	3	4
7	1	3	200911164972	13.047	2	3	4
0	1	3	200911165092	13.047	1	2	4
7	1	3	200911165258	13.047	1	2	4
98	1	3	200911165279	13.047	1	2	4
22	1	4	200911165387	298.504	1	6	4
7	1	3	200911165406	59.362	1	11	4
0	1	3	200911165463	13.047	1	2	4
98	1	3	200911165497	13.047	1	3	4
0	1	3	200911165501	13.047	1	3	4
99	1	3	200911166139	13.047	1	1	4
21	1	3	200911166332	33.921	1	7	4
0	1	3	200911166367	13.047	1	3	4
99	1	3	200911166587	13.047	1	3	4
29	1	3	200911166850	13.047	1	2	4
98	1	3	200911166852	13.047	1	2	4
10	1	3	200911166889	33.921	1	7	4
0	1	3	200911167107	13.047	1	1	4
10	1	4	200911167145	305.288	1	7	4
0	1	3	200911167320	33.921	1	7	4
22	1	3	200911167321	33.921	1	7	4
21	1	3	200911167484	13.047	1	2	4
0	1	4	200911167565	298.504	1	6	4
21	1	3	200911167623	13.047	1	2	4
22	1	3	200911167623	13.047	1	2	4
21	1	3	200911167924	13.047	1	2	4
2	1	3	200911167956	13.047	1	2	4
7	1	3	200911167956	13.047	1	2	4
10	1	3	200911167956	13.047	1	2	4
0	1	3	200911168057	13.047	1	3	4
10	1	3	200911168059	13.047	1	3	4
22	1	3	200911168318	13.047	1	2	4
7	1	3	200911168330	13.047	1	2	4
22	1	3	200911168334	13.047	1	2	4
24	1	3	200911168334	13.047	1	2	4
98	1	3	200911168354	13.047	1	2	4
22	1	3	200911168455	59.362	1	11	4
0	1	3	200911515544	16.569	1	2	5
21	1	3	200911515785	21.098	1	11	5
22	1	3	200911515785	21.098	1	11	5
5	1	3	200911515825	22.423	1	16	5
7	1	3	200911515825	22.423	1	16	5
21	1	3	200911515831	30.708	1	22	5
10	1	3	200911515843	16.569	1	1	5
7	1	3	200911516014	16.569	1	2	5
8	1	3	200911516014	16.569	1	2	5
5	1	3	200911516109	16.459	1	8	5
7	1	3	200911516109	16.459	1	8	5
10	1	3	200911516138	16.459	1	8	5
25	1	4	200911516213	316.468	1	11	5
21	1	3	200911516233	16.459	1	8	5
10	1	3	200911516775	16.569	1	1	5
