200512405023 1 1 811813   98.86
200512405074 1 1 8  513   17.30
200512405226 1 9 811814  296.57
200512405233 1 1 812013   98.86
200512405399 1 1 8 6913   99.48
200512405501 1 1 8  813   17.84
200512405501 2 1 8  813   17.84
200512405507 1 1 812013   98.86
200512405509 1 1 812013   98.86
200512405549 1 2 8 3313   45.15
200512405549 1 3 8 3313   45.15
200512405549 1 8 8 3313   45.15
200512405559 1 1 8 1513   28.38
200512405727 1 1 811814  296.57
200512405886 1 1 8 2213   29.75
200512406086 1 1 8 4713   58.59
200512406222 1 1 8  213   12.85
200512406228 1 1 8  813   17.84
200512406253 1 1 811813   98.86
200512406357 1 1 8  413   12.44
200512500804 1 1 9  533   19.19
200512501333 1 1 9  433   19.19
200512501463 1 1 9  433   19.19
200512501483 1 1 9  433   19.19
200512501528 1 1 9  433   19.19
200513002728 1 1 9  533   19.19
200513002730 1 1 9 1333   24.30
200513002808 1 1 9  836  126.03
200513002808 2 1 9  836  126.03
200513002910 1 1 9  833   15.75
200513003648 1 1 9 1633   27.04
200513004130 1 1 9  533   19.19
200513004501 1 1 9  533   19.19
200513004653 1 3 9  233   19.19
200513004790 1 1 9  433   19.19
200513004797 1 1 9  533   19.19
200513005103 1 1 9  533   19.19
200513005219 1 1 9  433   19.19
200513005460 1 1 9  533   19.19
200513005595 1 1 9  231    4.80
200513005632 1 1 9  533   19.19
200513005671 1 1 9  733   19.19
200513110465 1 142  233   16.67
200513110711 1 142 1033   22.36
200513111735 1 242 1033   22.36
200513111933 1 142  233   16.67
200513112709 1 142  233   16.67
200513112823 1 142 1033   22.36
200513114739 1 942  133   16.67
200513115038 1 142  133   16.67
200513115357 1 142  133   16.67
200513115743 1 142  133   16.67
200513115961 1 142  233   16.67
200513116189 1 142  231    4.17
200513116410 1 142  233   16.67
200513117223 1 142  233   16.67
200513118011 1 142  233   16.67
200513118787 1 142  232    4.17
200513118974 1 142  232    4.17
200513119351 1 142  233   16.67
200513119469 1 142  232    4.17
200513119781 1 142  233   16.67
200513119858 1 142  232    4.17
200513331953 1 110 2423   27.10
200513332716 1 132  123   20.94
200513332807 1 110 1523   13.60
200513333475 1 132  221    2.09
200513333688 1 110  523   15.08
200513333705 1 110  523   15.08
200513336014 1 110  422    2.70
200513336014 2 110  422    2.70
200513336346 1 132  123   20.94
200513336418 1 132  123   20.94
200513336486 1 132  123   20.94
200513337657 1 132  123   20.94
200513338518 1 110  223   18.91
200513339052 1 110  123   18.91
200513339426 1 132  123   20.94
200513339946 1 110 2423   27.10
200513339949 1 110 2423   27.10
200513340563 1 110 1523   13.60
200513340574 1 110 1523   13.60
200513340715 1 210 1723   17.01
200513340856 1 110  523   15.08
200513340856 2 110  523   15.08
200513340936 1 132  223   18.84
200513341208 1 110  123   18.91
200513341864 1 132  124  293.10
200513341903 1 132  123   20.94
200513341962 1 132  123   20.94
200513341988 1 132  123   20.94
200513342100 1 110 1723   17.01
200513342217 1 110  223   18.91
200513342489 1 110  523   15.08
200513343349 1 110 1523   13.60
200513343430 1 110 1523   13.60
200513344494 1 132  123   20.94
200513344645 1 132  123   20.94
200513344660 1 132  124  293.10
200513345066 1 132  123   20.94
200513345086 1 132  123   20.94
200513345144 1 110  323   18.91
200513345841 1 932  123   20.94
200513345843 1 132  123   20.94
200513345898 1 132  123   20.94
200513345932 1 132  123   20.94
200513345940 1 132  123   20.94
200513346145 1 132  124  293.10
200513346148 1 132  123   20.94
200513346164 1 132  123   20.94
200513346165 1 132  123   20.94
200513346165 2 132  123   20.94
200513346214 1 132  123   20.94
200513346222 1 132  123   20.94
200513346296 1 110  523   15.08
200513346342 1 110  523   15.08
200513346364 1 110  523   15.08
200513346611 1 110  123   18.91
200513346835 1 132  123   20.94
200513346881 1 132  123   20.94
200513346904 1 132  123   20.94
200513347630 1 110 2423   27.10
200513347841 1 132  124  293.10
200513347961 1 110  423   18.91
200513348317 1 132  123   20.94
200513348330 1 132  123   20.94
200513348850 1 110 1723   17.01
200513349345 1 110 1523   13.60
200513349357 1 110 1523   13.60
200513349363 1 110 2423   27.10
200513349595 1 132  123   20.94
200513349604 1 132  123   20.94
200513350724 1 132  126  125.62
200513350753 1 132  123   20.94
200513351076 1 110  323   18.91
200513352445 1 132  123   20.94
200513352446 1 132  123   20.94
200513352470 1 132  123   20.94
200513352473 1 132  123   20.94
200513352485 1 132  123   20.94
200513352883 1 110  523   15.08
200513353773 1 132  123   20.94
200513353930 1 110 1523   13.60
200513354613 1 132  123   20.94
200513354614 1 132  123   20.94
200513354650 1 132  123   20.94
200513354697 1 132  123   20.94
200513516129 1 111  123   19.05
200513516440 1 111  323   19.05
200513516733 1 111  223   19.05
200513517137 1 111  126  133.36
200513517159 1 111  223   19.05
200513517955 1 211  423   19.05
200513518236 1 111  523   19.05
200513518383 1 111  223   19.05
200513518471 1 111  223   19.05
200513518553 1 111  123   19.05
200513518990 1 111  523   19.05
200513519404 1 111  223   19.05
200514022884 1 112  523   12.21
200514023681 1 112  123   18.91
200514024197 1 112  122    6.30
200514024197 2 112  122    6.30
200514025072 1 112  123   18.91
200514025094 1 112  223   18.91
200514025305 1 112  923   20.79
200514026440 1 112  123   18.91
200514026643 1 112  123   18.91
200514026643 2 112  123   18.91
200514026743 1 912  923   20.79
200514026778 1 112  123   18.91
200514026991 1 112  123   18.91
200514027210 1 912  523   12.21
200514027698 1 112  321    6.30
200514027892 1 112  123   18.91
200514027966 1 112  923   20.79
200514028487 1 112  123   18.91
200514028537 1 112  323   18.91
200514028793 1 112  123   18.91
200514029069 1 112  123   18.91
200514029347 1 112  123   18.91
200514029347 2 112  123   18.91
200514029401 1 112  923   20.79
200514029443 1 112  125   69.33
200514029633 1 112  123   18.91
200514030040 1 212  523   12.21
200514030331 1 112  124  296.22
200514030648 1 112  523   12.21
200514030840 1 112  923   20.79
200514031493 1 112  923   20.79
200514032001 1 112  423   18.91
200514711936 1 113  323   38.97
200514712054 1 913  624  311.73
200514712173 1 113  523   38.97
200514712472 1 113  123   38.97
200514713033 1 113  123   38.97
200514713301 1 113  323   38.97
200514713522 1 113  623   38.97
200514713586 1 113  523   38.97
200514713838 1 113  526  116.90
200514714153 1 113  223   38.97
200514714216 1 113  423   38.97
200514714354 1 113  323   38.97
200514714390 1 113  223   38.97
200514714401 1 113  223   38.97
200514714483 1 113  523   38.97
200514714595 1 113  523   38.97
200514714773 1 113  223   38.97
200514714773 2 113  223   38.97
200514714819 1 113  423   38.97
200514714847 1 113  223   38.97
200514715064 1 113  124  311.73
200514715151 1 113  223   38.97
200514715417 1 113  623   38.97
200514715496 1 113  723   91.69
200514715527 1 113  323   38.97
200514715531 1 113  223   38.97
200514715546 1 113  624  311.73
200514715569 1 913  523   38.97
200514715573 1 113  523   38.97
200514715648 1 113  523   38.97
200514715785 1 113  123   38.97
200514715869 1 113  124  311.73
200514716020 1 113  223   38.97
200514716044 1 113  124  311.73
200514716252 1 113  123   38.97
200514716659 1 113  323   38.97
200514717652 1 113  623   38.97
200514816980 1 121  513   18.57
200514817327 1 121  513   18.57
200514817720 1 221  514  294.73
200514817846 1 121  513   18.57
200514818340 1 121  513   18.57
200514818613 1 121  513   18.57
200514818693 1 921 1114  298.83
200514819164 1 921  513   18.57
200514819291 1 921  514  294.73
200514819707 1 121  513   18.57
200514819866 1 221 1113   17.58
200514819964 1 121  513   18.57
200514820024 1 121 1113   17.58
200515329940 1 175  543   14.07
200515413342 1 141  133   20.05
200515413619 1 241  233   20.05
200515413755 1 141  132   10.03
200515413756 1 141  133   20.05
200515413780 1 141  233   20.05
200515413799 1 141  233   20.05
200515413867 1 141  133   20.05
200515413876 1 141  133   20.05
200515413889 1 141  133   20.05
200515413895 1 141  133   20.05
200515413998 1 841  133   20.05
200515414025 1 141  133   20.05
200515414025 2 141  133   20.05
200515414038 1 141  133   20.05
200515414166 1 941  133   20.05
200515414187 1 141  133   20.05
200515414226 1 141  233   20.05
200515414320 1 141  233   20.05
200515414320 2 141  233   20.05
200515414359 1 241  133   20.05
200515414421 1 141  233   20.05
200515414444 1 141  233   20.05
200515414517 1 141  133   20.05
200515414543 1 141  133   20.05
200515414654 1 141  133   20.05
200515414675 1 141  133   20.05
200515414711 1 241  233   20.05
200515414759 1 141  233   20.05
200515414771 1 141  233   20.05
200515414777 1 141  233   20.05
200515414834 1 241  133   20.05
200515414867 1 141  133   20.05
200515414961 1 141  233   20.05
200515414961 2 141  233   20.05
200515414984 1 241  233   20.05
200515415012 1 141  132   10.03
200515415092 1 141  133   20.05
200515415210 1 141  133   20.05
200515415294 1 141  233   20.05
200515415553 1 141  133   20.05
200515415658 1 141  133   20.05
200515415793 1 141  233   20.05
200515415828 1 141  133   20.05
200515415858 1 141  133   20.05
