CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201110708193	0	1	15.236148	1	3	3	3	1	1
201110708233	0	1	14.349849	1	3	10	3	1	1
201110708249	0	1	218.60058	1	4	21	3	1	1
201110708259	0	1	14.573372	1	3	21	3	1	1
201110708286	0	1	15.620256	1	3	16	3	1	7
201110708800	0	1	15.166506	1	3	7	3	1	1
201110708863	0	1	15.236148	1	3	3	3	1	1
201110708898	0	1	14.75799	1	3	13	3	1	1
201110708925	0	1	14.897799	1	3	8	3	1	1
201110709095	0	1	14.923428	1	3	4	3	1	1
201110709260	0	1	15.236148	1	3	3	3	1	1
201110709270	0	1	14.75799	1	3	13	3	1	1
201110709336	0	1	15.166506	1	3	7	3	1	2
201110709353	0	1	15.236148	1	3	3	3	1	1
201110709415	0	1	15.620256	1	3	16	3	1	2
201110709456	0	1	14.349849	1	3	10	3	1	1
201110709469	0	1	14.573372	1	3	21	3	1	1
201110709532	0	1	15.236148	1	3	3	3	1	1
201110709768	0	1	15.166506	1	3	7	3	1	1
201110709803	0	1	14.897799	1	3	8	3	1	1
201110709993	0	1	14.897799	1	3	8	3	1	1
201110710018	0	1	223.463504	1	4	3	3	1	1
201110710115	0	1	14.573372	1	3	21	3	1	1
201110710141	0	1	14.349849	1	3	10	3	1	1
201110710306	0	1	14.923428	1	3	4	3	1	1
201110710371	0	1	14.75799	1	3	13	3	1	1
201110710450	0	1	12.454	1	3	1	3	1	1
201110710538	0	1	15.236148	1	3	3	3	1	1
201110710572	0	1	223.466985	1	4	8	3	1	1
201110710572	0	2	223.466985	1	4	8	3	1	1
201110710810	0	1	15.166506	1	3	7	3	1	1
201110710849	0	1	15.620256	1	3	16	3	1	2
201110711148	0	1	14.897799	1	3	8	3	1	1
201110711459	0	1	224.172	1	4	1	3	1	1
201110711541	0	1	14.573372	1	3	21	3	1	1
201110711617	0	1	14.75799	1	3	13	3	1	1
201110711806	0	1	15.620256	1	3	16	3	1	1
201110711840	0	1	14.897799	1	3	8	3	1	1
201110711867	0	1	14.923428	1	3	4	3	1	1
201110712071	0	1	15.236148	1	3	3	3	1	1
201110712174	0	1	227.49759	1	4	7	3	1	1
201110712198	0	1	15.166506	1	3	7	3	1	1
201110712299	0	1	14.573372	1	3	21	3	1	1
201110712327	0	1	15.236148	1	3	3	3	1	1
201111179939	0	1	13.0465	1	3	2	4	3	1
201111180041	0	1	33.9209	1	3	7	4	3	1
201111180318	0	1	221.7905	1	4	2	4	3	1
201111180425	0	1	13.0465	1	3	1	4	3	1
201111180748	0	1	59.361575	1	3	11	4	3	1
201111180757	0	1	33.9209	1	3	7	4	3	1
201111180917	0	1	221.7905	1	4	1	4	3	1
201111181359	0	1	221.7905	1	4	1	4	3	1
201111181453	0	1	13.0465	1	3	2	4	3	1
201111181634	0	1	27.13672	1	3	6	4	3	1
201111182193	0	1	221.7905	1	4	2	4	3	1
201111182493	0	1	221.7905	1	4	1	4	3	1
201111183077	0	1	27.13672	1	3	6	4	3	1
201111183182	0	1	13.0465	1	3	2	4	3	1
201111183243	0	1	104.372	1	6	3	4	3	1
201111183671	0	1	13.0465	1	3	2	4	3	1
201111183722	0	1	221.7905	1	4	1	4	3	1
201111183999	0	1	13.0465	1	3	2	4	3	1
201111184058	0	1	13.0465	1	3	2	4	3	1
201111184200	0	1	221.7905	1	4	2	4	3	1
201111184308	0	1	13.0465	1	3	2	4	3	1
201111184333	0	1	13.0465	1	3	3	4	3	1
201111184333	0	2	13.0465	1	3	3	4	3	1
201111184567	0	1	13.0465	1	3	2	4	3	1
201111184612	0	1	13.0465	1	3	2	4	3	1
201111184634	0	1	13.0465	1	3	2	4	3	2
201111184699	0	1	121.59338	1	3	17	4	3	1
201111184745	0	1	13.0465	1	3	2	4	3	1
201111184768	0	1	13.0465	1	3	3	4	3	1
201111184780	0	1	13.0465	1	3	3	4	3	1
