200710415442 2 0 2  611   49.28
200710415444 1 0 2  615   49.28
200710415444 2 0 2  615   49.28
200710415444 3 0 2  615   49.28
200710415446 1 0 2  615   49.28
200710415446 2 0 2  615   49.28
200710415448 1 0 2  616   98.56
200710415451 192 2  614  246.40
200710415454 1 0 2  214  244.31
200710415454 2 0 2  214  244.31
200710415459 1 0 2  212   27.15
200710415459 2 0 2  212   27.15
200710415461 1 0 2 1611  106.65
200710415462 1 0 2 1615  106.65
200710415463 1 0 2 1611  106.65
200710415465 1 0 2 1616  106.65
200710415465 2 0 2 1616  106.65
200710415468 1 0 2  416  107.77
200710415472 193 2  414  269.43
200710415472 2 0 2  414  269.43
200710415474 1 0 2  415   53.89
200710415479 1 0 2 1015   89.85
200710415479 2 0 2 1015   89.85
200710415480 150 2 1014  269.56
200710415492 1 0 2  314  244.31
200710415492 2 0 2  314  244.31
200710415496 1 0 2  316  108.58
200710415496 2 0 2  316  108.58
200710415498 1 0 2  414  269.43
200710415498 2 4 2  414  269.43
200710415498 3 0 2  414  269.43
200710415499 1 0 2  416  107.77
200710415499 2 0 2  416  107.77
200710415499 3 0 2  416  107.77
200710415501 1 0 2  415   53.89
200710415501 2 0 2  415   53.89
200710415502 1 0 2  415   53.89
200710415502 2 0 2  415   53.89
200710415504 1 0 2 1016   89.85
200710415504 2 0 2 1016   89.85
200710415505 1 0 2 1016   89.85
200710415506 1 0 2 1015   89.85
200710415507 1 0 2 1016   89.85
200710415509 1 0 2  615   49.28
200710415510 1 0 2  611   49.28
200710415510 2 0 2  611   49.28
200710415513 1 0 2  611   49.28
200710415514 1 0 2  616   98.56
200710415515 1 0 2  615   49.28
200710415518 1 0 2  213   27.15
200710415538 1 0 2  314  244.31
200710415538 2 0 2  314  244.31
200710415542 1 0 2  614  246.40
200710415542 2 0 2  614  246.40
200710415547 195 2  614  246.40
200710415547 250 2  614  246.40
200710415553 1 0 2  615   49.28
200710415554 150 2  614  246.40
200710415555 1 0 2  615   49.28
200710415555 2 0 2  615   49.28
200710415558 1 0 2 1015   89.85
200710415560 1 0 2 1016   89.85
200710415561 1 0 2 1014  269.56
200710415561 2 4 2 1014  269.56
200710415563 1 0 2  415   53.89
200710415564 1 3 2  411   53.89
200710415567 1 0 2  414  269.43
200710415571 1 0 2  415   53.89
200710415574 1 0 2  416  107.77
200710415574 2 0 2  416  107.77
200710415576 1 0 2  216  108.58
200710415576 2 0 2  216  108.58
200710415583 1 0 2  216  108.58
200710415583 2 0 2  216  108.58
200710415585 1 0 2  116  108.58
200710415593 1 0 2  114  244.31
200710415593 2 0 2  114  244.31
200710415599 1 0 2  112   27.15
200710415600 1 0 2  115   54.29
200710415600 2 0 2  115   54.29
200710415608 1 0 2  414  269.43
200710415608 2 0 2  414  269.43
200710415611 1 0 2 1016   89.85
200710415611 2 0 2 1016   89.85
200710415613 1 0 2 1016   89.85
200710415613 2 0 2 1016   89.85
200710415613 3 0 2 1016   89.85
200710415614 1 4 2 1016   89.85
200710415614 2 0 2 1016   89.85
200710415616 193 2  215   54.29
200710415621 193 2  316  108.58
200710415621 293 2  316  108.58
200710415626 1 0 2  314  244.31
200710415626 2 0 2  314  244.31
200710415630 1 0 2  315   54.29
200710415630 293 2  315   54.29
200710415631 1 0 2  313   27.15
200710415639 1 0 2  615   49.28
200710415641 1 0 2  616   98.56
200710415642 1 0 2  612   49.28
200710415648 1 0 2  214  244.31
200710415648 2 0 2  214  244.31
200710415657 1 0 2  914  230.10
200710415659 1 0 2  916  115.05
200710415663 1 0 2  914  230.10
200710415663 2 0 2  914  230.10
200710415665 1 0 2  916  115.05
